HiringAgency,jobLink,jobNum,Job_ID,Num_of_Positions,Business_Title,Title_Code_No,Level,Civil_Service_Title,Title_Classification,Job_Category,Proposed_Salary_Range,Career_Level,Work_Location,Division_Work_Unit,Posted,Post_Until
OFFICE OF EMERGENCY MANAGEMENT,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=438972&PostingSeq=1&,438972,438972,1,COASTAL STORM PLAN PROGRAM MANAGER,06766,01,EMERGENCY PREPAREDNESS SPECIAL,Pending Classification,"Policy, Research & Analysis","$ 75,197.00 - $ 77,344.00 (Annual)",Experienced (non-manager),165 Cadman Plaza East,Office of the Chief Operating,05/22/2020,Until Filled
OFFICE OF EMERGENCY MANAGEMENT,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439028&PostingSeq=1&,439028,439028,1,"DEPUTY DIRECTOR, PLANNING",06765,00,EMERGENCY PREPAREDNESS MANAGER,Pending Classification,"Policy, Research & Analysis","$ 86,005.00 - $ 86,005.00 (Annual)",Manager,165 Cadman Plaza East,Office of the Chief Operating,05/22/2020,Until Filled
OFFICE OF EMERGENCY MANAGEMENT,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=438978&PostingSeq=1&,438978,438978,1,HUMAN RESOURCES COORDINATOR,06766,01,EMERGENCY PREPAREDNESS SPECIAL,Pending Classification,Administration & Human Resources,"$ 62,306.00 - $ 64,453.00 (Annual)",Experienced (non-manager),165 Cadman Plaza East,Office of the Chief Counsel,05/22/2020,Until Filled
OFFICE OF EMERGENCY MANAGEMENT,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440523&PostingSeq=1&,440523,440523,1,MONITORING AND EVALUATION PROGRAM MANAGER,06766,01,EMERGENCY PREPAREDNESS SPECIAL,Pending Classification,"Engineering, Architecture, & Planning, Technology, Data & Innovation","$ 65,000.00 - $ 79,500.00 (Annual)",Experienced (non-manager),165 Cadman Plaza East,Office of the Chief Operating,05/22/2020,Until Filled
OFFICE OF EMERGENCY MANAGEMENT,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=438968&PostingSeq=1&,438968,438968,1,PLAN REVISION PROGRAM MANAGER,06766,01,EMERGENCY PREPAREDNESS SPECIAL,Pending Classification,"Policy, Research & Analysis","$ 75,197.00 - $ 77,344.00 (Annual)",Experienced (non-manager),165 Cadman Plaza East,Office of the Chief Operating,05/22/2020,Until Filled
OFFICE OF EMERGENCY MANAGEMENT,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440506&PostingSeq=1&,440506,440506,1,COMMUNITY RECOVERY AND RESILIENCY PLANNER,06766,01,EMERGENCY PREPAREDNESS SPECIAL,Pending Classification,"Engineering, Architecture, & Planning","$ 55,000.00 - $ 67,500.00 (Annual)",Experienced (non-manager),165 Cadman Plaza East,Office of the Chief Operating,05/21/2020,Until Filled
OFFICE OF EMERGENCY MANAGEMENT,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440492&PostingSeq=1&,440492,440492,1,DIRECTOR OF FINANCIAL RECOVERY & COMPLIANCE,06765,00,EMERGENCY PREPAREDNESS MANAGER,Pending Classification,"Finance, Accounting, & Procurement","$ 95,000.00 - $124,500.00 (Annual)",Manager,165 Cadman Plaza East,Office of the Chief Counsel,05/21/2020,Until Filled
OFFICE OF EMERGENCY MANAGEMENT,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440497&PostingSeq=1&,440497,440497,1,DIRECTOR OF HAZARD MITIGATION,06765,00,EMERGENCY PREPAREDNESS MANAGER,Pending Classification,"Engineering, Architecture, & Planning","$ 95,000.00 - $124,500.00 (Annual)",Manager,165 Cadman Plaza East,Office of the Chief Operating,05/21/2020,Until Filled
OFFICE OF EMERGENCY MANAGEMENT,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440455&PostingSeq=1&,440455,440455,1,DIRECTOR OF TRANSPORTATION & INFRASTRUCTURE,06765,00,EMERGENCY PREPAREDNESS MANAGER,Pending Classification,"Engineering, Architecture, & Planning","$ 95,000.00 - $124,500.00 (Annual)",Manager,165 Cadman Plaza East,Office of the Chief Operating,05/21/2020,Until Filled
OFFICE OF EMERGENCY MANAGEMENT,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440510&PostingSeq=1&,440510,440510,1,LOGISTICS CENTER PROGRAM MANAGER,06766,01,EMERGENCY PREPAREDNESS SPECIAL,Pending Classification,"Technology, Data & Innovation","$ 65,000.00 - $ 79,500.00 (Annual)",Experienced (non-manager),165 Cadman Plaza East,Response Bureau,05/21/2020,Until Filled
OFFICE OF EMERGENCY MANAGEMENT,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440495&PostingSeq=1&,440495,440495,1,MITIGATION PROGRAM MANAGER,06766,01,EMERGENCY PREPAREDNESS SPECIAL,Pending Classification,"Engineering, Architecture, & Planning","$ 65,000.00 - $ 79,500.00 (Annual)",Experienced (non-manager),165 Cadman Plaza East,Office of the Chief Operating,05/21/2020,Until Filled
OFFICE OF EMERGENCY MANAGEMENT,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440505&PostingSeq=1&,440505,440505,1,PLANNING PROGRAM MANAGER,06766,01,EMERGENCY PREPAREDNESS SPECIAL,Pending Classification,"Engineering, Architecture, & Planning","$ 65,000.00 - $ 79,500.00 (Annual)",Experienced (non-manager),165 Cadman Plaza East,Office of the Chief Operating,05/21/2020,Until Filled
OFFICE OF EMERGENCY MANAGEMENT,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440500&PostingSeq=1&,440500,440500,1,RISK ANALYSIS PROGRAM MANAGER,06766,01,EMERGENCY PREPAREDNESS SPECIAL,Pending Classification,"Engineering, Architecture, & Planning","$ 65,000.00 - $ 79,500.00 (Annual)",Experienced (non-manager),165 Cadman Plaza East,Office of the Chief Operating,05/21/2020,Until Filled
OFFICE OF EMERGENCY MANAGEMENT,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440491&PostingSeq=1&,440491,440491,1,WATCH COMMAND SUPERVISOR,06765,00,EMERGENCY PREPAREDNESS MANAGER,Pending Classification,"Public Safety, Inspections, & Enforcement","$ 65,000.00 - $ 79,500.00 (Annual)",Manager,165 Cadman Plaza East,Response Bureau,05/21/2020,Until Filled
OFFICE OF EMERGENCY MANAGEMENT,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=438944&PostingSeq=1&,438944,438944,1,FAITH BASED OUTREACH COORDINATOR,06766,01,EMERGENCY PREPAREDNESS SPECIAL,Pending Classification,Communications & Intergovernmental Affairs,"$ 62,000.00 - $ 62,000.00 (Annual)",Experienced (non-manager),165 Cadman Plaza East,Office of Strategic Operations,03/25/2020,Until Filled
OFFICE OF EMERGENCY MANAGEMENT,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=438841&PostingSeq=1&,438841,438841,1,DATA ANALYTICS SPECIALIST,06766,01,EMERGENCY PREPAREDNESS SPECIAL,Pending Classification,"Technology, Data & Innovation","$ 66,603.00 - $ 68,750.00 (Annual)",Experienced (non-manager),165 Cadman Plaza East,Office of the Chief Operating,03/23/2020,Until Filled
OFFICE OF MANAGEMENT & BUDGET,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440554&PostingSeq=1&,440554,440554,1,Associate Director / Deputy Director | Financing Policy & Coordination,0608A,M6,BUDGET ANALYST (OMB)-MANAGERIA,Pending Classification,"Finance, Accounting, & Procurement, Legal Affairs, Policy, Research & Analysis","$185,886.00 - $230,726.00 (Annual)",Executive,255 Greenwich Street,Budget Directors Office (MGRL),05/26/2020,Until Filled
OFFICE OF MANAGEMENT & BUDGET,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=438282&PostingSeq=1&,438282,438282,1,Analyst | DEPARTMENT OF ENVIRONMENTAL PROTECTION,06088,01,BUDGET ANALYST (OMB),Pending Classification,"Finance, Accounting, & Procurement, Policy, Research & Analysis","$ 46,856.00 - $ 70,291.00 (Annual)",Entry-Level,255 Greenwich Street,"Infra, Librar. And Cultural",03/13/2020,Until Filled
OFFICE OF MANAGEMENT & BUDGET,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=436527&PostingSeq=1&,436527,436527,2,College Aide | Capital Coordination,10209,01,COLLEGE AIDE (ALL CITY DEPTS),Non-Competitive,"Finance, Accounting, & Procurement, Policy, Research & Analysis",$     15.75 - $     18.00 (Hourly),Student,255 Greenwich Street,Interns/Hourly Employees,03/06/2020,Until Filled
OFFICE OF MANAGEMENT & BUDGET,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=436225&PostingSeq=1&,436225,436225,1,College Aide | FEMA Public Assistance Policy & Monitoring & Compliance / Monitoring & Compliance,10209,01,COLLEGE AIDE (ALL CITY DEPTS),Non-Competitive,"Finance, Accounting, & Procurement, Policy, Research & Analysis",$     15.75 - $     18.00 (Hourly),Student,255 Greenwich Street,Interns/Hourly Employees,03/03/2020,Until Filled
OFFICE OF MANAGEMENT & BUDGET,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=436180&PostingSeq=1&,436180,436180,2,Analyst | FISCAL AND BUDGET,06088,01,BUDGET ANALYST (OMB),Pending Classification,"Finance, Accounting, & Procurement, Legal Affairs, Policy, Research & Analysis","$ 62,480.00 - $ 79,428.00 (Annual)",Entry-Level,255 Greenwich Street,Community Development,03/02/2020,Until Filled
OFFICE OF MANAGEMENT & BUDGET,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=433921&PostingSeq=1&,433921,433921,1,Executive | Communications Associate,06088,01,BUDGET ANALYST (OMB),Pending Classification,"Communications & Intergovernmental Affairs, Policy, Research & Analysis","$ 46,856.00 - $ 70,291.00 (Annual)",Entry-Level,255 Greenwich Street,Budget Directors Office,02/14/2020,Until Filled
OFFICE OF MANAGEMENT & BUDGET,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=433611&PostingSeq=1&,433611,433611,1,"Analyst | DOITT, Finance, Law, Mayoralty & Elected Officials",06088,01,BUDGET ANALYST (OMB),Pending Classification,"Finance, Accounting, & Procurement, Policy, Research & Analysis","$ 46,856.00 - $ 70,291.00 (Annual)",Entry-Level,255 Greenwich Street,Admin Agen. And Elec Offic,02/13/2020,Until Filled
OFFICE OF MANAGEMENT & BUDGET,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=433632&PostingSeq=1&,433632,433632,1,Analyst | Technology Budget & Management,06088,01,BUDGET ANALYST (OMB),Pending Classification,"Finance, Accounting, & Procurement, Technology, Data & Innovation, Policy, Research & Analysis","$ 46,856.00 - $ 70,291.00 (Annual)",Entry-Level,255 Greenwich Street,IFA,02/13/2020,Until Filled
OFFICE OF MANAGEMENT & BUDGET,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=433595&PostingSeq=1&,433595,433595,1,Unit Head / Deputy Assistant Director | Capital Program Scope Development (CPSD),0608A,M3,BUDGET ANALYST (OMB)-MANAGERIA,Pending Classification,"Engineering, Architecture, & Planning, Finance, Accounting, & Procurement, Policy, Research & Analysis","$ 98,388.00 - $117,810.00 (Annual)",Manager,255 Greenwich Street,Parks & Capital Coordination,02/13/2020,Until Filled
OFFICE OF MANAGEMENT & BUDGET,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=431536&PostingSeq=1&,431536,431536,1,Analyst | Service Desk & Operations / Operations,06088,01,BUDGET ANALYST (OMB),Pending Classification,"Finance, Accounting, & Procurement, Technology, Data & Innovation","$ 62,480.00 - $ 70,291.00 (Annual)",Entry-Level,255 Greenwich Street,Capital and MGMT Systems,01/31/2020,Until Filled
OFFICE OF MANAGEMENT & BUDGET,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=431528&PostingSeq=1&,431528,431528,1,Supervising Analyst / Unit Head | Pension Analysis,06088,02,BUDGET ANALYST (OMB),Pending Classification,"Finance, Accounting, & Procurement, Legal Affairs, Policy, Research & Analysis","$ 79,428.00 - $ 98,388.00 (Annual)",Experienced (non-manager),255 Greenwich Street,Office of Budget Review,01/31/2020,Until Filled
OFFICE OF MANAGEMENT & BUDGET,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=429699&PostingSeq=1&,429699,429699,2,Analyst | Criminal Justice,06088,01,BUDGET ANALYST (OMB),Pending Classification,"Finance, Accounting, & Procurement, Policy, Research & Analysis","$ 46,856.00 - $ 79,428.00 (Annual)",Entry-Level,255 Greenwich Street,Administration of Justice,01/23/2020,Until Filled
OFFICE OF MANAGEMENT & BUDGET,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=429646&PostingSeq=1&,429646,429646,1,Assistant Director | Citywide Savings,0608A,M4,BUDGET ANALYST (OMB)-MANAGERIA,Pending Classification,"Finance, Accounting, & Procurement, Policy, Research & Analysis","$141,766.00 - $141,766.00 (Annual)",Executive,255 Greenwich Street,Budget Directors Office,01/21/2020,Until Filled
OFFICE OF MANAGEMENT & BUDGET,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=429372&PostingSeq=1&,429372,429372,2,Analyst | Police,06088,01,BUDGET ANALYST (OMB),Pending Classification,"Finance, Accounting, & Procurement, Policy, Research & Analysis","$ 46,856.00 - $ 62,480.00 (Annual)",Entry-Level,255 Greenwich Street,Administration of Justice,01/17/2020,Until Filled
OFFICE OF MANAGEMENT & BUDGET,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=428980&PostingSeq=1&,428980,428980,2,Analyst | FEMA Public Assistance Policy & Monitoring & Compliance / Monitoring & Compliance,06088,01,BUDGET ANALYST (OMB),Pending Classification,"Finance, Accounting, & Procurement, Policy, Research & Analysis","$ 46,856.00 - $ 70,291.00 (Annual)",Entry-Level,255 Greenwich Street,Office of Budget Review,01/15/2020,Until Filled
OFFICE OF MANAGEMENT & BUDGET,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=427637&PostingSeq=1&,427637,427637,1,Analyst | Revenue Accountability,06088,01,BUDGET ANALYST (OMB),Pending Classification,"Finance, Accounting, & Procurement, Policy, Research & Analysis","$ 46,856.00 - $ 62,480.00 (Annual)",Entry-Level,255 Greenwich Street,Social Services,01/06/2020,Until Filled
OFFICE OF MANAGEMENT & BUDGET,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=426935&PostingSeq=1&,426935,426935,1,Analyst | HEALTH + HOSPITALS,06088,01,BUDGET ANALYST (OMB),Pending Classification,"Finance, Accounting, & Procurement, Policy, Research & Analysis","$ 46,856.00 - $ 62,480.00 (Annual)",Entry-Level,255 Greenwich Street,Health Task Force,12/23/2019,Until Filled
OFFICE OF MANAGEMENT & BUDGET,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=426371&PostingSeq=1&,426371,426371,2,Analyst | FEMA Public Assistance Fiscal & Reporting / Reporting,06088,01,BUDGET ANALYST (OMB),Pending Classification,"Finance, Accounting, & Procurement, Policy, Research & Analysis","$ 46,856.00 - $ 70,291.00 (Annual)",Entry-Level,255 Greenwich Street,Office of Budget Review,12/17/2019,Until Filled
OFFICE OF MANAGEMENT & BUDGET,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=424654&PostingSeq=1&,424654,424654,2,Analyst | Transportation,06088,01,BUDGET ANALYST (OMB),Pending Classification,"Finance, Accounting, & Procurement, Policy, Research & Analysis","$ 46,856.00 - $ 70,291.00 (Annual)",Entry-Level,255 Greenwich Street,"Infra, Librar. And Cultural",12/03/2019,Until Filled
OFFICE OF MANAGEMENT & BUDGET,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=423017&PostingSeq=1&,423017,423017,1,Analyst | Correction,06088,01,BUDGET ANALYST (OMB),Pending Classification,"Finance, Accounting, & Procurement, Policy, Research & Analysis","$ 46,856.00 - $ 70,291.00 (Annual)",Entry-Level,255 Greenwich Street,Administration of Justice,11/15/2019,Until Filled
OFFICE OF MANAGEMENT & BUDGET,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=421545&PostingSeq=1&,421545,421545,1,Analyst | Reporting and Applications Development,06088,01,BUDGET ANALYST (OMB),Pending Classification,"Technology, Data & Innovation","$ 62,480.00 - $ 70,291.00 (Annual)",Entry-Level,255 Greenwich Street,Capital and MGMT Systems,11/04/2019,Until Filled
OFFICE OF MANAGEMENT & BUDGET,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=421502&PostingSeq=1&,421502,421502,1,Unit Head | Reporting and Applications Development,06088,02,BUDGET ANALYST (OMB),Pending Classification,"Technology, Data & Innovation","$ 98,388.00 - $ 98,388.00 (Annual)",Experienced (non-manager),255 Greenwich Street,Capital and MGMT Systems,11/04/2019,Until Filled
OFFICE OF MANAGEMENT & BUDGET,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=383637&PostingSeq=1&,383637,383637,1,Analyst Sanitation,06088,02,BUDGET ANALYST (OMB),Pending Classification,"Finance, Accounting, & Procurement, Policy, Research & Analysis","$ 60,660.00 - $ 77,115.00 (Annual)",Experienced (non-manager),255 Greenwich Street,Fire & Sanitation,02/11/2019,Until Filled
OFFICE OF MANAGEMENT & BUDGET,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=354129&PostingSeq=1&,354129,354129,2,ANALYST | PARKS,06088,01,BUDGET ANALYST (OMB),Pending Classification,"Finance, Accounting, & Procurement, Policy, Research & Analysis","$ 43,618.00 - $ 65,433.00 (Annual)",Entry-Level,255 Greenwich Street,Fire & Sanitation,07/25/2018,Until Filled
OFFICE OF MANAGEMENT & BUDGET,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=349028&PostingSeq=1&,349028,349028,3,ANALYSTS | ADMINISTRATIVE AGENCIES,06088,01,BUDGET ANALYST (OMB),Pending Classification,"Finance, Accounting, & Procurement, Policy, Research & Analysis","$ 43,618.00 - $ 58,162.00 (Annual)",Entry-Level,255 Greenwich Street,Admin Agen. And Elec Offic,06/22/2018,Until Filled
OFFICE OF MANAGEMENT & BUDGET,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=292093&PostingSeq=1&,292093,292093,1,ECONOMIC ANALYSIS UNIT | ANALYST,06088,01,BUDGET ANALYST (OMB),Pending Classification,"Finance, Accounting, & Procurement, Policy, Research & Analysis","$ 58,162.00 - $ 65,433.00 (Annual)",Entry-Level,255 Greenwich Street,Tax Policy,06/21/2017,Until Filled
OFF OF PAYROLL ADMINISTRATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=434176&PostingSeq=1&,434176,434176,1,College Aide L1,10209,01,COLLEGE AIDE (ALL CITY DEPTS),Non-Competitive,Administration & Human Resources,$     15.50 - $     19.90 (Hourly),Student,5 Manhattan West,Citywide Systems Training,02/19/2020,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441627&PostingSeq=1&,441627,441627,1,Special Assistant (Pensions & Special Counsel),40925,01,INVESTMENT ANALYST,Competitive,"Finance, Accounting, & Procurement","$ 50,000.00 - $ 65,000.00 (Annual)",Entry-Level,"1 Centre St., N.Y.",Asset Management,07/09/2020,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441495&PostingSeq=1&,441495,441495,1,Senior Contract Analyst,40561,02,CONTRACT SPECIALIST,Competitive,"Finance, Accounting, & Procurement","$ 65,000.00 - $ 75,000.00 (Annual)",Experienced (non-manager),"1 Centre St., N.Y.",Asset Management,07/02/2020,Until Filled
OFFICE OF THE COMPTROLLER,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441033&PostingSeq=1&,441033,441033,1,Investment Officer - Infrastructure,95611,M4,INVESTMENT MANAGER (COMPTROLLE,Non-Competitive,"Finance, Accounting, & Procurement","$110,000.00 - $133,900.00 (Annual)",Manager,"1 Centre St., N.Y.",Asset Management,06/15/2020,Until Filled
